Pclass;new_status;persons_count;survived;survival_perc;mean_age;median_age
1;Miss;48.0;46.0;95.83333333333333;30.0;30.0
1;Mr;111.0;38.0;34.234234234234236;42.0;40.0
1;Mrs;46.0;45.0;97.82608695652173;41.0;42.0
1;Other;11.0;7.0;63.63636363636363;35.0;44.0
2;Miss;35.0;33.0;94.28571428571429;23.0;24.0
2;Mr;97.0;8.0;8.24742268041237;33.0;31.0
2;Mrs;41.0;37.0;90.2439024390244;34.0;32.0
2;Other;11.0;9.0;81.81818181818181;9.0;2.0
3;Miss;102.0;51.0;50.0;16.0;18.0
3;Mr;319.0;36.0;11.285266457680251;29.0;26.0
3;Mrs;42.0;21.0;50.0;34.0;31.0
3;Other;28.0;11.0;39.285714285714285;5.0;4.0
